fips,NAME,all_18up,prop_18to24,prop_25to34,prop_35to44,prop_45to54,prop_55to64,prop_65to74,prop_75up,prop_male,prop_female,prop_lt_hs,prop_hs,prop_lt_coll,prop_2yrcoll,prop_4yrcoll,prop_gt_coll,prop_hisp,prop_white,prop_black,prop_asian,prop_aiannhpi,prop_multother,prop_notraking
5127,"Scott County, Arkansas",7736,0.10276628748707342,0.14128748707342295,0.13999482936918303,0.17244053774560497,0.1750258531540848,0.15886763185108582,0.10961737331954498,0.5,0.5,0.20811789038262668,0.43420372285418823,0.21212512926577043,0.06101344364012409,0.04588934850051706,0.03865046535677353,0.07584753878567324,0.8433250335184831,0.002681478643937943,0.00900210687607738,0.023750239417736067,0.045393602758092316,0.06914384217582839
5131,"Sebastian County, Arkansas",96582,0.12477480275827794,0.170621855004038,0.1644095173013605,0.17258909527655256,0.16686339069391812,0.11879025077136526,0.08195108819448758,0.48302996417551924,0.5169700358244808,0.16492721210991695,0.3289846969414591,0.2534219626845582,0.0744030978857344,0.12226915988486467,0.05599387049346669,0.14012129200304407,0.6996493044931391,0.06895442527518221,0.04385655220028087,0.011564321635637568,0.035854104392716205,0.04741842602835377
5033,"Crawford County, Arkansas",46986,0.10707444770782787,0.1631762652705061,0.16564508577022943,0.17652066573021752,0.1733069424935087,0.12671859702890223,0.08755799599880816,0.48627250670412464,0.5137274932958754,0.1499808453581918,0.38264589452177244,0.24786106499808452,0.0778529774826544,0.09783765376920785,0.04382156387008896,0.07547381226789601,0.8457869125368165,0.013878217441413753,0.018472275579459598,0.015831092329363555,0.030557689845050584,0.04638878217441414
5017,"Chicot County, Arkansas",8370,0.1007168458781362,0.14217443249701314,0.14719235364396654,0.16367980884109917,0.1939068100358423,0.13130227001194744,0.12102747909199522,0.4911589008363202,0.5088410991636798,0.1921146953405018,0.3986857825567503,0.22592592592592592,0.04898446833930705,0.09725209080047789,0.037037037037037035,0.05357472750785147,0.38998706816922224,0.5409200073896175,0.003971919453168299,0.0022168852761869575,0.009329392203953445,0.011546277480140402
5071,"Johnson County, Arkansas",19903,0.13158820278349997,0.15248957443601466,0.16545244435512235,0.1697231573129679,0.16927096417625484,0.12651359091594233,0.08496206602019796,0.4924885695623775,0.5075114304376225,0.20263276892930715,0.410742099181028,0.19348841883133197,0.045872481535446916,0.09913078430387379,0.04813344721901221,0.1379559545091476,0.7979536723593625,0.015100224411395535,0.018637556578296757,0.002434293104104066,0.02791829903769351,0.030352592141797575
5077,"Lee County, Arkansas",7625,0.1100327868852459,0.17534426229508196,0.16878688524590163,0.1558032786885246,0.16301639344262295,0.12839344262295083,0.09862295081967214,0.5762622950819672,0.4237377049180328,0.2678032786885246,0.396327868852459,0.21363934426229508,0.04157377049180328,0.060721311475409837,0.019934426229508195,0.017769738242179187,0.40912960204298787,0.5633113428389019,0.001383273036816344,0.0021281123643328366,0.006277931474781869,0.008406043839114705
29029,"Camden County, Missouri",37064,0.08326138571120224,0.10954025469458234,0.10684221886466652,0.155865529894237,0.21476365206129938,0.21055471616663068,0.11917224260738182,0.49136628534426935,0.5086337146557306,0.11312864234837039,0.38911072739045977,0.2130638894884524,0.0839358946686812,0.12772501618821497,0.07303582991582128,0.026676423629590208,0.9441635621784638,0.006985098456625865,0.0032153627816214297,0.005854177754124534,0.013105375199574242,0.018959552953698777
29099,"Jefferson County, Missouri",170514,0.10070140868198506,0.16816800966489556,0.1721148996563332,0.18861794339467727,0.18604923935864504,0.11535123215689035,0.06899726708657354,0.49204170918516954,0.5079582908148305,0.11508732420798293,0.3212404846522866,0.26157969433594896,0.11534536753580352,0.12708633895164034,0.05966079031633766,0.0190369992207862,0.945078861810463,0.009059479986744409,0.00737118341976337,0.002978029753428093,0.016475445808814968,0.019453475562243062
29143,"New Madrid County, Missouri",13649,0.10117957359513517,0.1416953622976042,0.15766722836837863,0.1731995017950033,0.1882921825774782,0.13832515202578943,0.09964099934061103,0.47146311085061177,0.5285368891493882,0.21540039563337973,0.4535863433218551,0.17671624294820135,0.037072312989962636,0.06645175470730456,0.05077295039929665,0.01791028016394363,0.7998427937791253,0.15608331929706362,2.807253944191792e-4,0.0038178653641008364,0.02206501600134748,0.025882881365448317
29173,"Ralls County, Missouri",8043,0.09610841725724233,0.12122342409548675,0.14783041153798335,0.1772970284719632,0.1980604252144722,0.16225289071242074,0.09722740271043143,0.5041651125202039,0.4958348874797961,0.12209374611463385,0.47370384185005593,0.19830908864851424,0.07099341041899788,0.08964316797214969,0.04525674499564839,0.012332387197807576,0.9555642556523442,0.01272389155329353,0.005089556621317412,0.00528530879906039,0.00900460017617696,0.01428990897523735
30017,"Custer County, Montana",9255,0.1009184224743382,0.16682874122096164,0.14122096164235548,0.1582928146947596,0.19330091842247435,0.1298757428417072,0.10956239870340356,0.48849270664505673,0.5115072933549433,0.08525121555915721,0.30642895732036735,0.27401404646137223,0.12306861156131821,0.144462452728255,0.06677471636952999,0.03300970873786408,0.9209793161671591,0.005740818910932883,0.0028704094554664415,0.015533980582524271,0.02186576614605319,0.03739974672857746
30075,"Powder River County, Montana",1368,0.097953216374269,0.10160818713450293,0.097953216374269,0.16301169590643275,0.25146198830409355,0.1739766081871345,0.11403508771929824,0.5014619883040936,0.49853801169590645,0.06067251461988304,0.31505847953216376,0.30701754385964913,0.07894736842105263,0.195906432748538,0.04239766081871345,0.027177269919703522,0.9314391599752934,0,0,0.015441630636195183,0.025941939468807906,0.04138357010500309
30085,"Roosevelt County, Montana",7520,0.1386968085106383,0.2038563829787234,0.163031914893617,0.15492021276595744,0.17845744680851064,0.09441489361702128,0.06662234042553192,0.494281914893617,0.5057180851063829,0.14507978723404255,0.3603723404255319,0.26382978723404255,0.08111702127659574,0.10704787234042554,0.0425531914893617,0.03687210545065907,0.35081938012112573,0.003117206982543641,0.003651585322408265,0.5553972212326327,0.05014250089063057,0.6055397221232632
30051,"Liberty County, Montana",1786,0.05319148936170213,0.14501679731243,0.10974244120940649,0.15789473684210525,0.21612541993281076,0.1522956326987682,0.16573348264277715,0.48488241881298993,0.5151175811870101,0.25139977603583424,0.25699888017917133,0.23572228443449048,0.0929451287793953,0.11702127659574468,0.04591265397536394,0.02149122807017544,0.9732456140350877,0,0,0,0.005263157894736842,0.005263157894736842
30083,"Richland County, Montana",8613,0.11401370022059677,0.1695112039939626,0.17264600023220714,0.16138395448740275,0.1948217810286776,0.11691628933008244,0.0707070707070707,0.5093463369325438,0.49065366306745617,0.08405898061070474,0.3928944618599791,0.24741669569255775,0.09775920120747707,0.132590270521305,0.04528039010797631,0.05316901408450704,0.8909330985915493,0,0,0.029753521126760562,0.0261443661971831,0.055897887323943664
30101,"Toole County, Montana",3999,0.10677669417354338,0.15053763440860216,0.16079019754938734,0.16479119779944987,0.2148037009252313,0.1110277569392348,0.09127281820455113,0.5801450362590648,0.4198549637409352,0.16654163540885222,0.3830957739434859,0.24306076519129782,0.0760190047511878,0.11277819454863716,0.018504626156539136,0.03677652733118971,0.8760048231511254,0.001607717041800643,0.02532154340836013,0.0409967845659164,0.01929260450160772,0.06028938906752412
30019,"Daniels County, Montana",1389,0.04175665946724262,0.09359251259899208,0.16126709863210942,0.13606911447084233,0.22750179985601152,0.12455003599712024,0.21526277897768178,0.490280777537797,0.509719222462203,0.06047516198704104,0.3902087832973362,0.25413966882649386,0.08567314614830814,0.16630669546436286,0.04319654427645788,0.04791785510553337,0.934968625213919,0,0.006274957216200799,0.007986309184255563,0.002852253280091272,0.010838562464346835
30045,"Judith Basin County, Montana",1600,0.0575,0.110625,0.12,0.1775,0.280625,0.159375,0.094375,0.53875,0.46125,0.045625,0.333125,0.225,0.111875,0.2375,0.046875,0.02255253716043055,0.9538698103536648,0,0,0.01486417221937468,0.008713480266529985,0.023577652485904665
30023,"Deer Lodge County, Montana",7680,0.09544270833333333,0.11666666666666667,0.14557291666666666,0.17122395833333334,0.208203125,0.1546875,0.108203125,0.530078125,0.469921875,0.12434895833333333,0.3854166666666667,0.240625,0.08984375,0.119921875,0.03984375,0.03362637362637363,0.9026373626373626,0.006923076923076923,0.006703296703296703,0.017252747252747253,0.032857142857142856,0.05010989010989011
30055,"McCone County, Montana",1301,0.07916986933128363,0.1445042275172944,0.0983858570330515,0.14681014604150652,0.20906994619523445,0.15680245964642583,0.1652574942352037,0.5180630284396618,0.4819369715603382,0.07071483474250577,0.4196771714066103,0.24596464258262873,0.10760953112990007,0.1445042275172944,0.011529592621060722,0.03619631901840491,0.9392638036809816,0,0.0036809815950920245,0.018404907975460124,0.00245398773006135,0.020858895705521473
