fips,month,successes,trials,comm_mask_prop_most
1087,2021-03-01,16,24,0.6666666666666666
1087,2021-04-01,13,28,0.4642857142857143
1087,2021-05-01,17,17,1
1089,2020-11-01,286,370,0.772972972972973
1089,2020-12-01,1694,2134,0.7938144329896907
1089,2021-01-01,1657,2035,0.8142506142506143
1089,2021-02-01,1218,1502,0.810918774966711
1089,2021-03-01,1195,1548,0.7719638242894057
1089,2021-04-01,869,1368,0.6352339181286549
1089,2021-05-01,397,898,0.4420935412026726
1091,2020-11-01,3,8,0.375
1091,2020-12-01,33,54,0.6111111111111112
1091,2021-01-01,41,58,0.7068965517241379
1091,2021-02-01,29,41,0.7073170731707317
1091,2021-03-01,36,52,0.6923076923076923
1091,2021-04-01,28,35,0.8
1091,2021-05-01,7,20,0.35
1093,2020-11-01,1,10,0.1
1093,2020-12-01,38,82,0.4634146341463415
1093,2021-01-01,41,94,0.43617021276595747
1093,2021-02-01,22,62,0.3548387096774194
1093,2021-03-01,27,59,0.4576271186440678
1093,2021-04-01,11,44,0.25
1093,2021-05-01,3,27,0.1111111111111111
1095,2020-11-01,31,66,0.4696969696969697
1095,2020-12-01,208,342,0.6081871345029239
1095,2021-01-01,176,348,0.5057471264367817
1095,2021-02-01,123,256,0.48046875
1095,2021-03-01,108,268,0.40298507462686567
1095,2021-04-01,75,238,0.31512605042016806
1095,2021-05-01,15,140,0.10714285714285714
1097,2020-11-01,180,352,0.5113636363636364
1097,2020-12-01,959,1591,0.6027655562539284
1097,2021-01-01,1117,1775,0.6292957746478873
1097,2021-02-01,896,1397,0.6413743736578382
1097,2021-03-01,769,1429,0.5381385584324703
1097,2021-04-01,567,1141,0.49693251533742333
1097,2021-05-01,176,702,0.25071225071225073
1099,2020-11-01,1,10,0.1
1099,2020-12-01,37,67,0.5522388059701493
1099,2021-01-01,41,71,0.5774647887323944
1099,2021-02-01,30,50,0.6
1099,2021-03-01,19,50,0.38
1099,2021-04-01,2,37,0.05405405405405406
1099,2021-05-01,7,32,0.21875
1101,2020-11-01,135,170,0.7941176470588235
1101,2020-12-01,692,887,0.7801578354002254
1101,2021-01-01,758,928,0.8168103448275862
1101,2021-02-01,604,710,0.8507042253521127
1101,2021-03-01,572,749,0.7636849132176236
1101,2021-04-01,441,609,0.7241379310344828
1101,2021-05-01,225,385,0.5844155844155844
1103,2020-11-01,65,98,0.6632653061224489
1103,2020-12-01,374,530,0.7056603773584905
1103,2021-01-01,309,462,0.6688311688311688
1103,2021-02-01,260,359,0.724233983286908
1103,2021-03-01,247,399,0.6190476190476191
1103,2021-04-01,133,298,0.4463087248322148
1103,2021-05-01,63,215,0.2930232558139535
