fips,month,successes,trials,mask_prop_most
1069,2020-11-01,285,354,0.8050847457627118
1069,2020-12-01,418,489,0.8548057259713702
1069,2021-01-01,469,544,0.8621323529411765
1069,2021-02-01,363,427,0.8501170960187353
1069,2021-03-01,325,391,0.8312020460358056
1069,2021-04-01,239,330,0.7242424242424242
1069,2021-05-01,127,243,0.522633744855967
1071,2020-09-01,74,109,0.6788990825688074
1071,2020-10-01,158,199,0.7939698492462312
1071,2020-11-01,114,156,0.7307692307692307
1071,2020-12-01,194,258,0.751937984496124
1071,2021-01-01,201,248,0.8104838709677419
1071,2021-02-01,155,191,0.8115183246073299
1071,2021-03-01,130,178,0.7303370786516854
1071,2021-04-01,97,138,0.7028985507246377
1071,2021-05-01,70,123,0.5691056910569106
1073,2020-09-01,949,1081,0.877890841813136
1073,2020-10-01,953,1100,0.8663636363636363
1073,2020-11-01,876,976,0.8975409836065574
1073,2020-12-01,1431,1534,0.9328552803129074
1073,2021-01-01,1490,1610,0.9254658385093167
1073,2021-02-01,1170,1254,0.9330143540669856
1073,2021-03-01,1138,1270,0.8960629921259843
1073,2021-04-01,877,1045,0.8392344497607656
1073,2021-05-01,647,874,0.7402745995423341
1075,2020-09-01,34,36,0.9444444444444444
1075,2020-10-01,27,38,0.7105263157894737
1075,2020-11-01,28,38,0.7368421052631579
1075,2020-12-01,38,56,0.6785714285714286
1075,2021-01-01,52,61,0.8524590163934426
1075,2021-02-01,24,31,0.7741935483870968
1075,2021-03-01,34,49,0.6938775510204082
1075,2021-04-01,23,33,0.696969696969697
1075,2021-05-01,10,31,0.3225806451612903
1077,2020-09-01,155,205,0.7560975609756098
1077,2020-10-01,180,216,0.8333333333333334
1077,2020-11-01,149,175,0.8514285714285714
1077,2020-12-01,255,294,0.8673469387755102
1077,2021-01-01,260,278,0.935251798561151
1077,2021-02-01,174,200,0.87
1077,2021-03-01,197,221,0.8914027149321267
1077,2021-04-01,114,155,0.7354838709677419
1077,2021-05-01,82,141,0.5815602836879432
1079,2020-09-01,47,63,0.746031746031746
1079,2020-10-01,46,66,0.696969696969697
1079,2020-11-01,37,52,0.7115384615384616
1079,2020-12-01,77,83,0.927710843373494
1079,2021-01-01,77,95,0.8105263157894737
1079,2021-02-01,47,56,0.8392857142857143
1079,2021-03-01,49,54,0.9074074074074074
1079,2021-04-01,26,47,0.5531914893617021
1079,2021-05-01,14,28,0.5
1081,2020-09-01,254,296,0.8581081081081081
1081,2020-10-01,262,367,0.7138964577656676
1081,2020-11-01,211,264,0.7992424242424242
1081,2020-12-01,317,364,0.8708791208791209
1081,2021-01-01,385,445,0.8651685393258427
1081,2021-02-01,330,367,0.8991825613079019
1081,2021-03-01,323,383,0.8433420365535248
1081,2021-04-01,268,319,0.8401253918495298
1081,2021-05-01,155,236,0.6567796610169492
1083,2020-09-01,221,268,0.8246268656716418
1083,2020-10-01,264,309,0.8543689320388349
1083,2020-11-01,223,276,0.8079710144927537
1083,2020-12-01,431,471,0.9150743099787686
1083,2021-01-01,397,440,0.9022727272727272
1083,2021-02-01,294,330,0.8909090909090909
1083,2021-03-01,261,297,0.8787878787878788
1083,2021-04-01,233,287,0.8118466898954704
1083,2021-05-01,151,202,0.7475247524752475
1085,2020-09-01,9,15,0.6
1085,2020-10-01,13,20,0.65
1085,2020-11-01,11,21,0.5238095238095238
1085,2020-12-01,21,23,0.9130434782608695
1085,2021-01-01,29,30,0.9666666666666667
1085,2021-02-01,26,27,0.9629629629629629
1085,2021-03-01,28,28,1
1085,2021-04-01,23,25,0.92
1085,2021-05-01,15,16,0.9375
1087,2020-09-01,22,22,1
1087,2020-10-01,23,24,0.9583333333333334
1087,2020-11-01,14,17,0.8235294117647058
1087,2020-12-01,36,38,0.9473684210526315
1087,2021-01-01,49,51,0.9607843137254902
1087,2021-02-01,29,35,0.8285714285714286
1087,2021-03-01,24,24,1
1087,2021-04-01,25,30,0.8333333333333334
1087,2021-05-01,20,22,0.9090909090909091
1089,2020-09-01,1224,1381,0.8863142650253439
1089,2020-10-01,1450,1616,0.8972772277227723
1089,2020-11-01,1268,1417,0.89484827099506
1089,2020-12-01,2026,2160,0.937962962962963
1089,2021-01-01,1945,2068,0.940522243713733
1089,2021-02-01,1436,1541,0.9318624269954575
1089,2021-03-01,1456,1581,0.9209361163820367
1089,2021-04-01,1223,1403,0.8717034925160371
1089,2021-05-01,803,1095,0.7333333333333333
1091,2020-09-01,20,23,0.8695652173913043
1091,2020-10-01,24,30,0.8
1091,2020-11-01,28,32,0.875
1091,2020-12-01,46,58,0.7931034482758621
1091,2021-01-01,50,59,0.847457627118644
1091,2021-02-01,35,41,0.8536585365853658
1091,2021-03-01,49,53,0.9245283018867925
1091,2021-04-01,33,35,0.9428571428571428
1091,2021-05-01,18,29,0.6206896551724138
1093,2020-09-01,32,45,0.7111111111111111
1093,2020-10-01,30,51,0.5882352941176471
1093,2020-11-01,41,52,0.7884615384615384
1093,2020-12-01,62,84,0.7380952380952381
1093,2021-01-01,88,97,0.9072164948453608
1093,2021-02-01,44,62,0.7096774193548387
1093,2021-03-01,43,58,0.7413793103448276
1093,2021-04-01,34,45,0.7555555555555555
1093,2021-05-01,20,35,0.5714285714285714
1095,2020-09-01,148,212,0.6981132075471698
1095,2020-10-01,204,251,0.8127490039840638
1095,2020-11-01,213,251,0.848605577689243
1095,2020-12-01,287,342,0.8391812865497076
1095,2021-01-01,299,348,0.8591954022988506
1095,2021-02-01,219,262,0.8358778625954199
1095,2021-03-01,209,270,0.774074074074074
1095,2021-04-01,173,243,0.7119341563786008
1095,2021-05-01,100,178,0.5617977528089888
1097,2020-09-01,942,1160,0.8120689655172414
1097,2020-10-01,992,1245,0.7967871485943775
1097,2020-11-01,961,1249,0.7694155324259407
1097,2020-12-01,1340,1622,0.8261405672009864
1097,2021-01-01,1597,1817,0.8789212988442487
1097,2021-02-01,1256,1445,0.8692041522491349
1097,2021-03-01,1198,1463,0.8188653451811346
1097,2021-04-01,884,1166,0.758147512864494
1097,2021-05-01,570,865,0.6589595375722543
1099,2020-09-01,38,39,0.9743589743589743
1099,2020-10-01,26,46,0.5652173913043478
1099,2020-11-01,31,44,0.7045454545454546
1099,2020-12-01,62,66,0.9393939393939394
1099,2021-01-01,70,75,0.9333333333333333
1099,2021-02-01,49,49,1
1099,2021-03-01,34,50,0.68
1099,2021-04-01,21,40,0.525
1099,2021-05-01,15,35,0.42857142857142855
1101,2020-09-01,491,544,0.9025735294117647
1101,2020-10-01,575,645,0.8914728682170543
1101,2020-11-01,511,587,0.8705281090289608
1101,2020-12-01,814,902,0.9024390243902439
1101,2021-01-01,902,958,0.941544885177453
1101,2021-02-01,683,732,0.9330601092896175
1101,2021-03-01,693,764,0.9070680628272252
1101,2021-04-01,565,619,0.9127625201938611
1101,2021-05-01,406,484,0.8388429752066116
1103,2020-09-01,260,336,0.7738095238095238
1103,2020-10-01,301,383,0.7859007832898173
1103,2020-11-01,318,365,0.8712328767123287
1103,2020-12-01,482,533,0.9043151969981238
1103,2021-01-01,417,470,0.8872340425531915
1103,2021-02-01,336,365,0.9205479452054794
1103,2021-03-01,365,407,0.8968058968058968
1103,2021-04-01,194,300,0.6466666666666666
1103,2021-05-01,174,280,0.6214285714285714
1105,2020-09-01,9,14,0.6428571428571429
1105,2020-10-01,8,8,1
1105,2020-11-01,2,10,0.2
1105,2020-12-01,10,10,1
1105,2021-01-01,8,13,0.6153846153846154
1105,2021-02-01,20,20,1
1105,2021-03-01,10,11,0.9090909090909091
1105,2021-04-01,9,9,1
1105,2021-05-01,7,9,0.7777777777777778
1107,2020-09-01,34,36,0.9444444444444444
1107,2020-10-01,30,35,0.8571428571428571
1107,2020-11-01,31,33,0.9393939393939394
1107,2020-12-01,58,64,0.90625
1107,2021-01-01,52,55,0.9454545454545454
1107,2021-02-01,30,41,0.7317073170731707
1107,2021-03-01,46,47,0.9787234042553191
1107,2021-04-01,21,24,0.875
1107,2021-05-01,10,21,0.47619047619047616
1109,2020-09-01,65,72,0.9027777777777778
1109,2020-10-01,53,80,0.6625
1109,2020-11-01,67,78,0.8589743589743589
1109,2020-12-01,90,100,0.9
1109,2021-01-01,117,132,0.8863636363636364
1109,2021-02-01,59,78,0.7564102564102564
1109,2021-03-01,64,89,0.7191011235955056
1109,2021-04-01,57,72,0.7916666666666666
1109,2021-05-01,37,57,0.6491228070175439
1111,2020-09-01,20,31,0.6451612903225806
1111,2020-10-01,24,34,0.7058823529411765
1111,2020-11-01,27,31,0.8709677419354839
1111,2020-12-01,30,43,0.6976744186046512
1111,2021-01-01,39,50,0.78
1111,2021-02-01,21,32,0.65625
1111,2021-03-01,32,33,0.9696969696969697
1111,2021-04-01,28,30,0.9333333333333333
1111,2021-05-01,6,22,0.2727272727272727
1113,2020-09-01,117,142,0.823943661971831
1113,2020-10-01,109,157,0.6942675159235668
1113,2020-11-01,113,148,0.7635135135135135
1113,2020-12-01,174,200,0.87
1113,2021-01-01,220,248,0.8870967741935484
1113,2021-02-01,171,203,0.8423645320197044
1113,2021-03-01,140,173,0.8092485549132948
1113,2021-04-01,106,153,0.6928104575163399
1113,2021-05-01,85,134,0.6343283582089553
1115,2020-09-01,83,123,0.6747967479674797
1115,2020-10-01,119,150,0.7933333333333333
1115,2020-11-01,104,134,0.7761194029850746
1115,2020-12-01,136,166,0.8192771084337349
1115,2021-01-01,160,186,0.8602150537634409
1115,2021-02-01,119,141,0.8439716312056738
1115,2021-03-01,124,161,0.7701863354037267
1115,2021-04-01,98,125,0.784
1115,2021-05-01,78,101,0.7722772277227723
1117,2020-09-01,304,352,0.8636363636363636
1117,2020-10-01,324,417,0.7769784172661871
1117,2020-11-01,311,345,0.9014492753623189
1117,2020-12-01,420,455,0.9230769230769231
1117,2021-01-01,433,506,0.8557312252964426
1117,2021-02-01,391,426,0.9178403755868545
1117,2021-03-01,359,423,0.8486997635933806
1117,2021-04-01,282,352,0.8011363636363636
1117,2021-05-01,186,300,0.62
1119,2020-09-01,13,19,0.6842105263157895
1119,2020-10-01,24,25,0.96
1119,2020-11-01,24,26,0.9230769230769231
1119,2020-12-01,34,34,1
1119,2021-01-01,46,46,1
1119,2021-02-01,34,34,1
1119,2021-03-01,39,41,0.9512195121951219
1119,2021-04-01,29,29,1
1119,2021-05-01,9,14,0.6428571428571429
1121,2020-09-01,65,88,0.7386363636363636
1121,2020-10-01,100,116,0.8620689655172413
1121,2020-11-01,100,127,0.7874015748031497
1121,2020-12-01,152,180,0.8444444444444444
1121,2021-01-01,157,183,0.8579234972677595
1121,2021-02-01,121,145,0.8344827586206897
1121,2021-03-01,102,127,0.8031496062992126
1121,2021-04-01,83,111,0.7477477477477478
1121,2021-05-01,50,88,0.5681818181818182
1123,2020-09-01,39,46,0.8478260869565217
1123,2020-10-01,60,73,0.821917808219178
1123,2020-11-01,43,67,0.6417910447761194
1123,2020-12-01,77,83,0.927710843373494
1123,2021-01-01,80,85,0.9411764705882353
1123,2021-02-01,72,75,0.96
1123,2021-03-01,60,71,0.8450704225352113
1123,2021-04-01,39,58,0.6724137931034483
1123,2021-05-01,31,36,0.8611111111111112
1125,2020-09-01,429,517,0.8297872340425532
1125,2020-10-01,528,608,0.868421052631579
1125,2020-11-01,447,530,0.8433962264150944
1125,2020-12-01,729,793,0.9192938209331651
1125,2021-01-01,694,766,0.9060052219321149
1125,2021-02-01,543,606,0.8960396039603961
1125,2021-03-01,559,662,0.8444108761329305
1125,2021-04-01,408,513,0.7953216374269005
1125,2021-05-01,308,428,0.719626168224299
1127,2020-09-01,78,104,0.75
1127,2020-10-01,81,113,0.7168141592920354
1127,2020-11-01,64,103,0.6213592233009708
1127,2020-12-01,167,193,0.8652849740932642
1127,2021-01-01,145,165,0.8787878787878788
1127,2021-02-01,122,139,0.8776978417266187
1127,2021-03-01,103,125,0.824
1127,2021-04-01,90,109,0.8256880733944955
1127,2021-05-01,36,81,0.4444444444444444
1129,2020-09-01,24,38,0.631578947368421
1129,2020-10-01,22,23,0.9565217391304348
1129,2020-11-01,23,37,0.6216216216216216
1129,2020-12-01,34,38,0.8947368421052632
1129,2021-01-01,28,37,0.7567567567567568
1129,2021-02-01,31,46,0.6739130434782609
1129,2021-03-01,20,38,0.5263157894736842
1129,2021-04-01,20,23,0.8695652173913043
1129,2021-05-01,11,21,0.5238095238095238
1131,2020-09-01,14,17,0.8235294117647058
1131,2020-10-01,14,19,0.7368421052631579
1131,2020-11-01,8,12,0.6666666666666666
1131,2020-12-01,17,25,0.68
1131,2021-01-01,17,17,1
1131,2021-02-01,16,20,0.8
1131,2021-03-01,15,15,1
1131,2021-04-01,20,20,1
1131,2021-05-01,3,3,1
1133,2020-09-01,30,42,0.7142857142857143
1133,2020-10-01,20,31,0.6451612903225806
1133,2020-11-01,22,41,0.5365853658536586
1133,2020-12-01,44,49,0.8979591836734694
1133,2021-01-01,46,61,0.7540983606557377
1133,2021-02-01,43,45,0.9555555555555556
1133,2021-03-01,44,53,0.8301886792452831
1133,2021-04-01,18,34,0.5294117647058824
1133,2021-05-01,12,25,0.48
2013,2020-09-01,5,5,1
2013,2020-10-01,3,7,0.42857142857142855
2013,2021-01-01,2,2,1
2013,2021-02-01,5,5,1
2013,2021-04-01,3,3,1
2016,2020-09-01,5,7,0.7142857142857143
2016,2020-10-01,7,8,0.875
2016,2020-11-01,12,12,1
2016,2020-12-01,7,10,0.7
2016,2021-01-01,9,10,0.9
2016,2021-02-01,6,10,0.6
2016,2021-03-01,7,7,1
2016,2021-04-01,6,6,1
2016,2021-05-01,4,7,0.5714285714285714
2020,2020-09-01,893,1075,0.8306976744186046
2020,2020-10-01,1119,1269,0.8817966903073287
2020,2020-11-01,1196,1286,0.9300155520995335
2020,2020-12-01,1419,1557,0.9113680154142582
2020,2021-01-01,1461,1568,0.9317602040816326
2020,2021-02-01,1148,1240,0.9258064516129032
2020,2021-03-01,1186,1330,0.8917293233082707
2020,2021-04-01,928,1053,0.8812915479582146
2020,2021-05-01,650,832,0.78125
2050,2020-09-01,29,31,0.9354838709677419
2050,2020-10-01,40,44,0.9090909090909091
2050,2020-11-01,33,33,1
