"fips","month","mask_grocery_very_prop","mask_grocery_some_prop","mask_grocery_very_suc","mask_grocery_some_suc","total_obs","mask_grocery_some_only_prop","mask_grocery_notso_only_prop","mask_grocery_notatall_only_prop"
1011,2020-09-01,0.746338924233661,0.76146905725853,3,3,3,0.0151301330248699,1.54231733179101e-05,0.0420782726045884
1011,2020-10-01,0.720890688259109,0.73748987854251,1,1,1,0.0165991902834008,0,0
1011,2020-11-01,0.157332433648223,0.869635627530364,1,2,2,0.712303193882141,0,0
1011,2020-12-01,0.796067090803932,0.80080971659919,1,1,1,0.00474262579525737,0,0
1011,2021-01-01,0.73748987854251,0.73748987854251,3,3,3,0,0,0
1011,2021-02-01,0.628161090986575,0.633019390581717,3,3,4,0.0048582995951417,0.234655870445344,1.70466652461112e-05
1011,2021-03-01,0.0424291497975708,0.0424291497975708,0,0,0,0,0,0
1011,2021-04-01,0.839106858054226,0.873654766286345,4,4,4,0.0345479082321187,0,2.94442399705557e-05
1011,2021-05-01,0.411497975708502,0.796720647773279,1,2,2,0.385222672064777,0,4.04858299595141e-05
1011,2021-06-01,0.0953846153846154,0.095438596491228,1,1,1,5.39811066126855e-05,0.000107962213225371,0
1013,2020-06-01,0.857497278549909,0.944710260499733,7,8,8,0.0872129819498239,0,0
1013,2020-07-01,0.919495708969392,0.919495708969392,4,4,4,0,0,0
1013,2020-08-01,0.704488493962177,0.704488493962177,7,7,7,0,0,0
1013,2020-09-01,0.905141641983746,0.905141641983746,3,3,3,0,0,0
1013,2020-10-01,0.760082023239917,0.760082023239917,2,2,2,0,0,0
1013,2020-11-01,0.734411787043365,0.734867471709576,3,3,3,0.000455684666210982,0,0
1013,2020-12-01,0.655451760714918,0.879471405787194,3,4,4,0.224019645072276,0,0
1013,2021-01-01,0.214095845674793,0.886154780891622,2,3,3,0.672058935216829,0,0
1013,2021-02-01,0.566431229589124,0.700843016632489,4,5,5,0.134411787043366,0,0.000303789777473988
1013,2021-03-01,0.67251461988304,0.67251461988304,2,2,2,0,0,0
1013,2021-04-01,0.857142857142856,0.857142857142856,4,4,4,0,0,0
1013,2021-05-01,0.448039290144553,0.672058935216829,2,3,3,0.224019645072276,0,0
1013,2021-06-01,0.092314118629908,0.115098351940457,1,1,3,0.0227842333105491,0.154666970456444,0
1015,2020-06-01,0.616137052258954,0.701162851742964,32,37,45,0.0850257994840102,0.0973686776264473,0.0611256524869502
1015,2020-07-01,0.708046667191655,0.807346353072937,33,39,41,0.0992996858812822,0,0.0445541089178216
1015,2020-08-01,0.838639737621913,0.893775666153342,53,56,59,0.0551359285314293,0.0211687432918008,0.0207312520416258
1015,2020-09-01,0.711518269634606,0.782719970600587,20,22,25,0.0712017009659806,0.0413232360352793,0.0298915896682066
1015,2020-10-01,0.569987662746744,0.604131667366652,13,14,14,0.0341440046199075,0,0
